time (s), ch0 acceleration (g)
0.726820,-0.073155
0.727817,-0.099371
0.728814,-0.092044
0.729811,-0.076520
0.730808,-0.055441
0.731805,-0.032643
0.732802,-0.008489
0.733799,0.013746
0.734796,0.031272
0.735793,0.043786
0.736790,0.054377
0.737787,0.057874
0.738784,0.058177
0.739781,0.054994
0.740778,0.049389
0.741775,0.044792
0.742772,0.038783
0.743769,0.031428
0.744766,0.022687
0.745763,0.015023
0.746760,0.008751
0.747757,0.003419
0.748754,-0.001725
0.749751,-0.005786
0.750748,-0.008385
0.751745,-0.010211
0.752742,-0.011741
0.753739,-0.012306
0.754736,-0.012090
0.755733,-0.011362
0.756730,-0.010212
0.757727,-0.008705
0.758724,-0.007039
0.759721,-0.005179
0.760718,-0.003510
0.761715,-0.002109
0.762712,-0.000616
0.763709,0.000548
0.764706,0.001452
0.765703,0.001795
0.766700,0.001593
0.767697,0.001247
0.768694,0.000822
0.769691,0.000281
0.770688,-0.000443
0.771685,-0.001960
0.772682,-0.003506
0.773679,-0.005736
0.774676,-0.008255
0.775673,-0.010255
0.776670,-0.013110
0.777667,-0.016428
0.778664,-0.019461
0.779661,-0.021659
0.780658,-0.023639
0.781655,-0.025611
0.782652,-0.027539
0.783649,-0.028490
0.784646,-0.028887
0.785643,-0.029697
0.786640,-0.029653
0.787637,-0.028978
0.788634,-0.027909
0.789631,-0.027202
0.790628,-0.024405
0.791625,-0.021183
0.792622,-0.017982
0.793619,-0.014696
0.794616,-0.011567
0.795613,-0.008471
0.796610,-0.005695
0.797607,-0.003741
0.798604,-0.002701
0.799601,-0.002373
0.800598,-0.002743
0.801595,-0.003265
0.802592,-0.003981
0.803589,-0.004592
0.804586,-0.005361
0.805583,-0.005857
0.806580,-0.006274
0.807577,-0.006168
0.808574,-0.006049
0.809571,-0.005286
0.810568,-0.004582
0.811565,-0.002876
0.812562,-0.001677
0.813559,0.000275
0.814556,0.001084
0.815553,0.002753
0.816550,0.002548
0.817547,0.003587
0.818544,0.002296
0.819541,0.003058
0.820538,0.000672
0.821535,0.001585
0.822532,-0.001984
0.823529,-0.000217
0.824526,-0.005754
0.825523,-0.000933
0.826520,-0.013617
0.827517,0.046072
0.828514,0.086308
0.829511,-0.038297
0.830508,-0.169105
0.831505,-0.182863
0.832502,-0.149119
