time (s), ch0 acceleration (g), ch1 acceleration (g)
0.440678,-0.461044,0.000163
0.441675,0.000343,1.397735
0.442672,-1.388962,0.000864
0.443669,0.000280,0.578397
0.444666,-1.028451,0.000381
0.445663,-0.000300,-0.783794
0.446660,0.248032,0.000546
0.447657,0.000685,-1.418285
0.448654,1.309111,-0.000069
0.449651,0.000010,-0.750487
0.450648,1.179941,0.000645
0.451645,0.000049,0.583506
0.452642,-0.030419,0.000724
0.453639,0.000890,1.399680
0.454636,-1.224092,0.000360
0.455633,0.000160,0.940492
0.456630,-1.274477,0.000319
0.457627,0.001192,-0.386366
0.458624,-0.178764,0.000755
0.459621,0.000785,-1.363852
0.460618,1.079246,0.000639
0.461615,0.000447,-1.074965
0.462612,1.360701,0.000900
0.463609,0.000219,0.172741
0.464606,0.399687,-0.000053
0.465603,0.000012,1.272613
0.466600,-0.941654,0.000912
0.467597,-0.000191,1.215778
0.468594,-1.404848,0.000670
0.469591,0.000684,0.045543
0.470588,-0.585952,0.000986
0.471585,0.000706,-1.180403
0.472582,0.753083,0.000572
0.473579,0.000484,-1.303827
0.474576,1.417984,0.001233
0.475573,0.000565,-0.251052
0.476570,0.789804,0.000439
0.477567,0.000091,1.029266
0.478564,-0.571252,0.000523
0.479561,0.000303,1.381123
0.480558,-1.406367,0.000759
0.481555,0.000595,0.471717
0.482552,-0.941083,0.000595
0.483549,0.000791,-0.883434
0.484546,0.359915,0.000301
0.485543,0.000101,-1.415130
0.486540,1.344911,0.000693
0.487537,0.000918,-0.652422
0.488534,1.105706,0.000878
0.489531,0.000321,0.689519
0.490528,-0.148788,0.000374
0.491525,0.000449,1.415453
0.492522,-1.276352,0.000826
0.493519,0.850635,-1.325392
0.494516,0.000802,0.000399
0.495513,-0.501611,-0.316955
0.496510,0.000667,0.001014
0.497507,-1.394854,0.976219
0.498504,0.000799,0.000494
0.499501,-0.995156,1.390974
0.500499,0.000583,0.000524
0.501496,0.289974,0.536303
0.502493,0.000605,0.000603
0.503490,1.321307,-0.824113
0.504487,0.000395,-0.000091
0.505484,1.151093,-1.417650
0.506481,0.000009,0.000633
0.507478,-0.073959,-0.710916
0.508475,0.000432,0.000507
0.509472,-1.242981,0.627185
0.510469,0.000000,0.001095
0.511466,-1.251548,1.408207
0.512463,0.000833,0.000571
0.513460,-0.135195,0.906241
0.514457,0.000603,0.001447
0.515454,1.105441,-0.432990
0.516451,0.000782,0.000492
0.517448,1.346903,-1.378419
0.518445,0.000409,0.000440
